provider,pair,timeframe,window,expected,rows,unique_times,missing_expected,extra_times,coverage_pct,first,last,elapsed_s,requests,status,notes
gemini_public_candles,BTC/USDT,1m,endpoint_tail_no_start_end,,1284,1284,,,,2026-06-18T23:16:00+00:00,2026-06-19T20:39:00+00:00,0.475,1,ok,Public endpoint tested has no start/end params; not enough for arbitrary 2016 backtests
gemini_public_candles,BTC/USDT,1h,endpoint_tail_no_start_end,,0,0,,,,,,0.505,1,<HTTPError 400: 'Bad Request'>,Public endpoint tested has no start/end params; not enough for arbitrary 2016 backtests
gemini_public_candles,BTC/USDT,1d,endpoint_tail_no_start_end,,0,0,,,,,,0.368,1,<HTTPError 400: 'Bad Request'>,Public endpoint tested has no start/end params; not enough for arbitrary 2016 backtests
gemini_public_candles,BTC/EUR,1m,endpoint_tail_no_start_end,,1284,1284,,,,2026-06-18T23:16:00+00:00,2026-06-19T20:39:00+00:00,0.419,1,ok,Public endpoint tested has no start/end params; not enough for arbitrary 2016 backtests
gemini_public_candles,BTC/EUR,1h,endpoint_tail_no_start_end,,0,0,,,,,,0.783,1,<HTTPError 400: 'Bad Request'>,Public endpoint tested has no start/end params; not enough for arbitrary 2016 backtests
gemini_public_candles,BTC/EUR,1d,endpoint_tail_no_start_end,,0,0,,,,,,1.543,1,<HTTPError 400: 'Bad Request'>,Public endpoint tested has no start/end params; not enough for arbitrary 2016 backtests
kucoin_public,BTC/USD,1m,2026-06-18_probe,6,0,0,6,0,0.0,,,3.118,1,"{""msg"": ""Sorry! Your IP is from restricted area,we cannot provide the service."", ""code"": ""400302""}",Public API returned restricted-area from this environment in prior probe
kucoin_public,BTC/USD,1h,2026-06-18_probe,6,0,0,6,0,0.0,,,3.191,1,"{""msg"": ""Sorry! Your IP is from restricted area,we cannot provide the service."", ""code"": ""400302""}",Public API returned restricted-area from this environment in prior probe
kucoin_public,BTC/USD,1d,2026-06-18_probe,6,0,0,6,0,0.0,,,0.995,1,"{""msg"": ""Sorry! Your IP is from restricted area,we cannot provide the service."", ""code"": ""400302""}",Public API returned restricted-area from this environment in prior probe
kucoin_public,BTC/USDT,1m,2026-06-18_probe,6,0,0,6,0,0.0,,,0.433,1,"{""msg"": ""Sorry! Your IP is from restricted area,we cannot provide the service."", ""code"": ""400302""}",Public API returned restricted-area from this environment in prior probe
kucoin_public,BTC/USDT,1h,2026-06-18_probe,6,0,0,6,0,0.0,,,0.428,1,"{""msg"": ""Sorry! Your IP is from restricted area,we cannot provide the service."", ""code"": ""400302""}",Public API returned restricted-area from this environment in prior probe
kucoin_public,BTC/USDT,1d,2026-06-18_probe,6,0,0,6,0,0.0,,,0.459,1,"{""msg"": ""Sorry! Your IP is from restricted area,we cannot provide the service."", ""code"": ""400302""}",Public API returned restricted-area from this environment in prior probe
kucoin_public,BTC/EUR,1m,2026-06-18_probe,6,0,0,6,0,0.0,,,0.473,1,"{""msg"": ""Sorry! Your IP is from restricted area,we cannot provide the service."", ""code"": ""400302""}",Public API returned restricted-area from this environment in prior probe
kucoin_public,BTC/EUR,1h,2026-06-18_probe,6,0,0,6,0,0.0,,,0.57,1,"{""msg"": ""Sorry! Your IP is from restricted area,we cannot provide the service."", ""code"": ""400302""}",Public API returned restricted-area from this environment in prior probe
kucoin_public,BTC/EUR,1d,2026-06-18_probe,6,0,0,6,0,0.0,,,0.415,1,"{""msg"": ""Sorry! Your IP is from restricted area,we cannot provide the service."", ""code"": ""400302""}",Public API returned restricted-area from this environment in prior probe
